,F4-80+,F4-80+/SYK+,SYK+,none
F4-80+,20.08640671564831,2.50745434109829,-4.882044472767551,-9.716417689149951
F4-80+/SYK+,2.222835835600024,55.17398815767126,17.086780410646035,-58.665640445259314
SYK+,-4.540141588339105,18.95001488850964,27.122124796378962,-31.036665904588336
none,-4.8209296989058865,-39.13465986866958,-21.163468691302587,42.14130960319863
