,CD11c,CD207,SYK
CD11c,9.369202226345083,0.7421150278293136,6.215213358070501
CD207,0.7421150278293136,1.2987012987012987,0.5565862708719851
SYK,6.215213358070501,0.5565862708719851,32.93135435992579
